"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\admin\EspecialidadesPage.tsx", "TypeScript JSX", 0, 0, 180, 0, 0, 9, 189
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\admin\EspecialistasPage.tsx", "TypeScript JSX", 0, 0, 315, 0, 8, 21, 344
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\admin\OfficeConfigForm.tsx", "TypeScript JSX", 0, 0, 89, 0, 8, 11, 108
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\admin\PacientesPage.tsx", "TypeScript JSX", 0, 0, 307, 0, 0, 28, 335
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\admin\RolesPage.tsx", "TypeScript JSX", 0, 0, 131, 0, 41, 13, 185
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\admin\TratamientosPage.tsx", "TypeScript JSX", 0, 0, 145, 0, 0, 7, 152
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\admin\UsuariosPage.tsx", "TypeScript JSX", 0, 0, 330, 0, 3, 23, 356
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\especialista\Historial\Anamnesis.tsx", "TypeScript JSX", 0, 0, 14, 0, 0, 1, 15
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\especialista\Historial\HistorialDialog.tsx", "TypeScript JSX", 0, 0, 230, 0, 0, 10, 240
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\especialista\InicioEspecialista.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 11, 76
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\especialista\PerfilEspecialista.tsx", "TypeScript JSX", 0, 0, 331, 0, 2, 16, 349
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\paciente\InicioPaciente.tsx", "TypeScript JSX", 0, 0, 187, 0, 5, 26, 218
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\paciente\MisCitasPaciente.tsx", "TypeScript JSX", 0, 0, 178, 0, 1, 13, 192
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\pages\paciente\PerfilPaciente.tsx", "TypeScript JSX", 0, 0, 138, 0, 0, 6, 144
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\utils\calendarLocalazer.ts", "TypeScript", 13, 0, 0, 0, 0, 2, 15
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\utils\errorHandler.ts", "TypeScript", 22, 0, 0, 0, 0, 3, 25
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\utils\textUtils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 5
"c:\Users\relee\Code\Benedetta\trabajo-grado-v2\frontend-v2\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 841, 3, 6872, 1, 286, 686, 8689
